year,major_occ,ind1,occ_desc,mthly_gross_wage_50_pctile,mthly_basic_wage_50_pctile
2019,"professionals, managers & executives",manufacturing,industrial and production engineer,6008,5598
2019,"professionals, managers & executives",manufacturing,mechanical engineer,5530,5159
2019,"professionals, managers & executives",manufacturing,manufacturing plant/production manager,8152,7651
2019,"professionals, managers & executives","food, beverages & tobacco",manufacturing plant/production manager,6440,5999
2019,"professionals, managers & executives","food, beverages & tobacco",sales and marketing manager,6436,5760
2019,"professionals, managers & executives","food, beverages & tobacco",industrial and production engineer,5615,5097
2019,"professionals, managers & executives",paper/ rubber/ plastic product & printing,industrial and production engineer,4517,4080
2019,"professionals, managers & executives",paper/ rubber/ plastic product & printing,manufacturing plant/production manager,5560,5228
2019,"professionals, managers & executives",paper/ rubber/ plastic product & printing,managing director/chief executive officer,10725,10000
2019,"professionals, managers & executives","petroleum, chemical & pharmaceutical products",industrial and production engineer,8254,6576
2019,"professionals, managers & executives","petroleum, chemical & pharmaceutical products",manufacturing plant/production manager,10268,8495
2019,"professionals, managers & executives","petroleum, chemical & pharmaceutical products","biologist, botanist, zoologist and related professional",6673,4000
2019,"professionals, managers & executives","fabricated metal products, machinery & equipment",industrial and production engineer,4517,4277
2019,"professionals, managers & executives","fabricated metal products, machinery & equipment",manufacturing plant/production manager,5702,5446
2019,"professionals, managers & executives","fabricated metal products, machinery & equipment",mechanical engineer,4762,4413
2019,"professionals, managers & executives","electronic, computer & optical products",industrial and production engineer,6127,5709
2019,"professionals, managers & executives","electronic, computer & optical products",mechanical engineer,6355,5603
2019,"professionals, managers & executives","electronic, computer & optical products",technical/engineering services manager (eg shipyard manager),10532,10173
2019,"professionals, managers & executives",transport equipment,mechanical engineer,5016,4922
2019,"professionals, managers & executives",transport equipment,industrial and production engineer,7152,6834
2019,"professionals, managers & executives",transport equipment,manufacturing plant/production manager,8702,8584
2019,"professionals, managers & executives",construction,building and construction project manager,5900,5500
2019,"professionals, managers & executives",construction,managing director/chief executive officer,7000,7000
2019,"professionals, managers & executives",construction,technical/engineering services manager (eg shipyard manager),6157,5636
2019,"professionals, managers & executives",services,financial/insurance services manager (eg financial institution branch manager),9398,9225
2019,"professionals, managers & executives",services,sales and marketing manager,7256,6829
2019,"professionals, managers & executives",services,budgeting and financial accounting manager (including financial controller),7800,7700
2019,"professionals, managers & executives",wholesale and retail trade,sales and marketing manager,7330,6730
2019,"professionals, managers & executives",wholesale and retail trade,retail/shop sales manager,3871,3240
2019,"professionals, managers & executives",wholesale and retail trade,budgeting and financial accounting manager (including financial controller),8600,8503
2019,"professionals, managers & executives",wholesale trade,sales and marketing manager,7470,6881
2019,"professionals, managers & executives",wholesale trade,budgeting and financial accounting manager (including financial controller),8950,8665
2019,"professionals, managers & executives",wholesale trade,managing director/chief executive officer,11000,10500
2019,"professionals, managers & executives",retail trade,retail/shop sales manager,3635,3200
2019,"professionals, managers & executives",retail trade,sales and marketing manager,5550,5550
2019,"professionals, managers & executives",retail trade,managing director/chief executive officer,8000,7750
2019,"professionals, managers & executives",transportation and storage,transport operations manager,6305,5800
2019,"professionals, managers & executives",transportation and storage,mechanical engineer,4832,4557
2019,"professionals, managers & executives",transportation and storage,sales and marketing manager,7595,7328
2019,"professionals, managers & executives",land transport & supporting services,transport operations manager,4723,3996
2019,"professionals, managers & executives",land transport & supporting services,mechanical engineer,4416,4191
2019,"professionals, managers & executives",land transport & supporting services,technical/engineering services manager (eg shipyard manager),6388,6112
2019,"professionals, managers & executives",water transport & supporting services,transport operations manager,6900,6698
2019,"professionals, managers & executives",water transport & supporting services,network and communications manager,6771,6749
2019,"professionals, managers & executives",water transport & supporting services,mechanical engineer,4880,4567
2019,"professionals, managers & executives",air transport & supporting services,transport operations manager,8458,6208
2019,"professionals, managers & executives",air transport & supporting services,mechanical engineer,5936,5456
2019,"professionals, managers & executives",air transport & supporting services,sales and marketing manager,6825,5974
2019,"professionals, managers & executives",accommodation and food services,restaurant manager,3373,3000
2019,"professionals, managers & executives",accommodation and food services,sales and marketing manager,5040,4758
2019,"professionals, managers & executives",accommodation and food services,managing director/chief executive officer,3500,3500
2019,"professionals, managers & executives",accommodation,hotel operations/lodging services manager,3700,3700
2019,"professionals, managers & executives",accommodation,sales and marketing manager,5250,5093
2019,"professionals, managers & executives",accommodation,restaurant manager,4332,4325
2019,"professionals, managers & executives",food & beverage services,restaurant manager,3200,2935
2019,"professionals, managers & executives",food & beverage services,managing director/chief executive officer,3012,3000
2019,"professionals, managers & executives",food & beverage services,sales and marketing manager,4100,4000
2019,"professionals, managers & executives",information and communications,systems analyst,5713,5599
2019,"professionals, managers & executives",information and communications,it service manager,9690,9547
2019,"professionals, managers & executives",information and communications,sales and marketing manager,6815,6537
2019,"professionals, managers & executives","telecommunications, broadcasting & publishing",sales and marketing manager,6500,6500
2019,"professionals, managers & executives","telecommunications, broadcasting & publishing",telecommunications engineer,5540,5058
2019,"professionals, managers & executives","telecommunications, broadcasting & publishing","producer (stage, film, television, computer games, video and radio)",4600,4500
2019,"professionals, managers & executives",it & other information services,systems analyst,5716,5608
2019,"professionals, managers & executives",it & other information services,it service manager,9682,9545
2019,"professionals, managers & executives",it & other information services,"software, web and multimedia developer",5117,4849
2019,"professionals, managers & executives",financial and insurance services,financial/insurance services manager (eg financial institution branch manager),9395,9204
2019,"professionals, managers & executives",financial and insurance services,financial/investment adviser (eg relationship manager),6150,6150
2019,"professionals, managers & executives",financial and insurance services,compliance officer/risk analyst (financial),9676,9626
2019,"professionals, managers & executives",financial services,financial/insurance services manager (eg financial institution branch manager),9460,9300
2019,"professionals, managers & executives",financial services,financial/investment adviser (eg relationship manager),6200,6200
2019,"professionals, managers & executives",financial services,compliance officer/risk analyst (financial),10266,10266
2019,"professionals, managers & executives",insurance,financial/insurance services manager (eg financial institution branch manager),8976,8928
2019,"professionals, managers & executives",insurance,business development manager,7492,7085
2019,"professionals, managers & executives",insurance,insurance underwriter,6380,6200
2019,"professionals, managers & executives",real estate services,premises and facilities maintenance manager (including building security manager),5579,5317
2019,"professionals, managers & executives",real estate services,mechanical engineer,4284,4200
2019,"professionals, managers & executives",real estate services,budgeting and financial accounting manager (including financial controller),6391,6391
2019,"professionals, managers & executives",professional services,budgeting and financial accounting manager (including financial controller),7500,7405
2019,"professionals, managers & executives",professional services,auditor (accounting),3400,3400
2019,"professionals, managers & executives",professional services,advocate/solicitor (practising),9000,8250
2019,"professionals, managers & executives","legal, accounting & management services",auditor (accounting),3400,3400
2019,"professionals, managers & executives","legal, accounting & management services",budgeting and financial accounting manager (including financial controller),7600,7500
2019,"professionals, managers & executives","legal, accounting & management services",advocate/solicitor (practising),9000,8250
2019,"professionals, managers & executives",architectural & engineering services,technical/engineering services manager (eg shipyard manager),8770,8605
2019,"professionals, managers & executives",architectural & engineering services,mechanical engineer,5283,5088
2019,"professionals, managers & executives",architectural & engineering services,civil engineer,6000,6000
2019,"professionals, managers & executives",administrative and support services,sales and marketing manager,6300,5940
2019,"professionals, managers & executives",administrative and support services,managing director/chief executive officer,6500,6500
2019,"professionals, managers & executives",administrative and support services,budgeting and financial accounting manager (including financial controller),6600,6474
2019,"professionals, managers & executives","education, health and social services",education and training institution manager,5586,5500
2019,"professionals, managers & executives","education, health and social services","registered nurse and other nursing professional (eg clinical nurse, nurse educator, excluding enrolled nurse)",3973,3673
2019,"professionals, managers & executives","education, health and social services",university lecturer,12961,12843
2019,"professionals, managers & executives",health & social services,"registered nurse and other nursing professional (eg clinical nurse, nurse educator, excluding enrolled nurse)",3962,3658
2019,"professionals, managers & executives",health & social services,social work and counselling professional,3930,3918
2019,"professionals, managers & executives",health & social services,health services manager,7280,6984
2019,"professionals, managers & executives","arts, entertainment, recreation and other services",human resource manager,7212,6815
2019,"professionals, managers & executives","arts, entertainment, recreation and other services",recreation centre manager,5000,4782
2019,"professionals, managers & executives","arts, entertainment, recreation and other services",managing director/chief executive officer,5750,5500
2019,associate professionals & technicians,manufacturing,manufacturing engineering technician,4090,2873
2019,associate professionals & technicians,manufacturing,mechanical engineering technician,3985,2980
2019,associate professionals & technicians,manufacturing,management executive,3655,3537
2019,associate professionals & technicians,"food, beverages & tobacco",manufacturing engineering technician,4897,2562
2019,associate professionals & technicians,"food, beverages & tobacco",commercial and marketing sales executive,3280,3280
2019,associate professionals & technicians,"food, beverages & tobacco",operations officer (except transport operations),4065,3802
2019,associate professionals & technicians,paper/ rubber/ plastic product & printing,commercial and marketing sales executive,3095,3030
2019,associate professionals & technicians,"petroleum, chemical & pharmaceutical products",manufacturing engineering technician,5393,3484
2019,associate professionals & technicians,"petroleum, chemical & pharmaceutical products",chemical engineering technician,5790,3128
2019,associate professionals & technicians,"petroleum, chemical & pharmaceutical products",chemistry technician,4424,3046
2019,associate professionals & technicians,"fabricated metal products, machinery & equipment",mechanical engineering technician,3630,2740
2019,associate professionals & technicians,"fabricated metal products, machinery & equipment",management executive,3210,3136
2019,associate professionals & technicians,"fabricated metal products, machinery & equipment",manufacturing engineering technician,3794,2720
2019,associate professionals & technicians,"electronic, computer & optical products",manufacturing engineering technician,3380,2521
2019,associate professionals & technicians,"electronic, computer & optical products",assistant mechanical engineer,4980,3297
2019,associate professionals & technicians,"electronic, computer & optical products",assistant manufacturing engineer,3737,3056
2019,associate professionals & technicians,transport equipment,mechanical engineering technician,4034,3055
2019,associate professionals & technicians,transport equipment,management executive,3719,3600
2019,associate professionals & technicians,transport equipment,manufacturing engineering technician,3599,2902
2019,associate professionals & technicians,construction,civil engineering technician,3300,2996
2019,associate professionals & technicians,construction,management executive,3000,2952
2019,associate professionals & technicians,construction,"accounting associate professional (eg assistant accountant, audit (accounting) executive)",3392,3383
2019,associate professionals & technicians,services,operations officer (except transport operations),3765,3630
2019,associate professionals & technicians,services,management executive,3600,3530
2019,associate professionals & technicians,services,pre-primary education teacher,2747,2502
2019,associate professionals & technicians,wholesale and retail trade,commercial and marketing sales executive,3999,3553
2019,associate professionals & technicians,wholesale and retail trade,operations officer (except transport operations),3798,3700
2019,associate professionals & technicians,wholesale and retail trade,management executive,3570,3500
2019,associate professionals & technicians,wholesale trade,commercial and marketing sales executive,4023,3600
2019,associate professionals & technicians,wholesale trade,operations officer (except transport operations),3976,3768
2019,associate professionals & technicians,wholesale trade,management executive,3680,3574
2019,associate professionals & technicians,retail trade,commercial and marketing sales executive,3826,3300
2019,associate professionals & technicians,retail trade,operations officer (except transport operations),3358,3161
2019,associate professionals & technicians,retail trade,mechanical engineering technician,3600,2987
2019,associate professionals & technicians,transportation and storage,mechanical engineering technician,3220,2742
2019,associate professionals & technicians,transportation and storage,port/shipping operations supervisor,3415,2768
2019,associate professionals & technicians,transportation and storage,road transport supervisor,3562,2888
2019,associate professionals & technicians,land transport & supporting services,road transport supervisor,3559,2862
2019,associate professionals & technicians,land transport & supporting services,mechanical engineering technician,3546,3006
2019,associate professionals & technicians,land transport & supporting services,human resource associate professional,3277,3168
2019,associate professionals & technicians,water transport & supporting services,port/shipping operations supervisor,3414,2768
2019,associate professionals & technicians,water transport & supporting services,mechanical engineering technician,2560,2402
2019,associate professionals & technicians,water transport & supporting services,operations officer (except transport operations),3866,3683
2019,associate professionals & technicians,air transport & supporting services,human resource associate professional,4978,4695
2019,associate professionals & technicians,air transport & supporting services,commercial and marketing sales executive,4216,4068
2019,associate professionals & technicians,air transport & supporting services,flight operations officer,4780,3741
2019,associate professionals & technicians,accommodation and food services,chef,3600,3300
2019,associate professionals & technicians,accommodation and food services,"accounting associate professional (eg assistant accountant, audit (accounting) executive)",3000,2933
2019,associate professionals & technicians,accommodation and food services,commercial and marketing sales executive,2668,2600
2019,associate professionals & technicians,accommodation,chef,3925,3638
2019,associate professionals & technicians,accommodation,"accounting associate professional (eg assistant accountant, audit (accounting) executive)",3000,3000
2019,associate professionals & technicians,accommodation,commercial and marketing sales executive,2710,2700
2019,associate professionals & technicians,food & beverage services,chef,3400,3035
2019,associate professionals & technicians,food & beverage services,"accounting associate professional (eg assistant accountant, audit (accounting) executive)",3000,2900
2019,associate professionals & technicians,food & beverage services,operations officer (except transport operations),2375,2039
2019,associate professionals & technicians,information and communications,computer technician (including it user helpdesk technician),4365,3570
2019,associate professionals & technicians,information and communications,commercial and marketing sales executive,3695,3450
2019,associate professionals & technicians,information and communications,broadcasting technician and audio-visual operator,3826,3620
2019,associate professionals & technicians,"telecommunications, broadcasting & publishing",broadcasting technician and audio-visual operator,3826,3620
2019,associate professionals & technicians,"telecommunications, broadcasting & publishing",commercial and marketing sales executive,3600,3412
2019,associate professionals & technicians,"telecommunications, broadcasting & publishing",management executive,3330,3330
2019,associate professionals & technicians,it & other information services,computer technician (including it user helpdesk technician),5457,4620
2019,associate professionals & technicians,it & other information services,management executive,4250,4145
2019,associate professionals & technicians,it & other information services,commercial and marketing sales executive,3888,3500
2019,associate professionals & technicians,financial and insurance services,operations officer (except transport operations),4150,4089
2019,associate professionals & technicians,financial and insurance services,management executive,4350,4200
2019,associate professionals & technicians,financial and insurance services,"accounting associate professional (eg assistant accountant, audit (accounting) executive)",4162,4056
2019,associate professionals & technicians,financial services,operations officer (except transport operations),4159,4100
2019,associate professionals & technicians,financial services,"accounting associate professional (eg assistant accountant, audit (accounting) executive)",4185,4162
2019,associate professionals & technicians,financial services,management executive,4498,4475
2019,associate professionals & technicians,insurance,operations officer (except transport operations),4120,3989
2019,associate professionals & technicians,insurance,management executive,4060,4000
2019,associate professionals & technicians,insurance,valuer and loss assessor,5410,5152
2019,associate professionals & technicians,real estate services,premises and facilities maintenance officer,3225,3157
2019,associate professionals & technicians,real estate services,mechanical engineering technician,3098,2826
2019,associate professionals & technicians,real estate services,"accounting associate professional (eg assistant accountant, audit (accounting) executive)",3300,3300
2019,associate professionals & technicians,professional services,"accounting associate professional (eg assistant accountant, audit (accounting) executive)",3443,3400
2019,associate professionals & technicians,professional services,management executive,3626,3500
2019,associate professionals & technicians,professional services,operations officer (except transport operations),3723,3705
2019,associate professionals & technicians,"legal, accounting & management services","accounting associate professional (eg assistant accountant, audit (accounting) executive)",3400,3385
2019,associate professionals & technicians,"legal, accounting & management services",management executive,3685,3450
