year,major_occ,ind1,occ_desc,mthly_gross_wage_50_pctile,mthly_basic_wage_50_pctile
2019,associate professionals & technicians,"legal, accounting & management services",operations officer (except transport operations),3763,3738
2019,associate professionals & technicians,architectural & engineering services,mechanical engineering technician,3412,3000
2019,associate professionals & technicians,architectural & engineering services,civil engineering technician,4700,4700
2019,associate professionals & technicians,architectural & engineering services,manufacturing engineering technician,2706,2519
2019,associate professionals & technicians,administrative and support services,operations officer (except transport operations),3100,2700
2019,associate professionals & technicians,administrative and support services,commercial and marketing sales executive,3052,2900
2019,associate professionals & technicians,administrative and support services,management executive,2804,2700
2019,associate professionals & technicians,"education, health and social services",pre-primary education teacher,2749,2502
2019,associate professionals & technicians,"education, health and social services",management executive,3500,3470
2019,associate professionals & technicians,"education, health and social services",operations officer (except transport operations),3400,3350
2019,associate professionals & technicians,health & social services,pre-primary education teacher,2700,2669
2019,associate professionals & technicians,health & social services,operations officer (except transport operations),3415,3391
2019,associate professionals & technicians,health & social services,social work associate professional,2441,2400
2019,associate professionals & technicians,"arts, entertainment, recreation and other services",human resource associate professional,4674,4201
2019,associate professionals & technicians,"arts, entertainment, recreation and other services",operations officer (except transport operations),3417,3342
2019,associate professionals & technicians,"arts, entertainment, recreation and other services","accounting associate professional (eg assistant accountant, audit (accounting) executive)",3585,3488
2019,"clerical, service & sales workers",manufacturing,general office clerk,2100,2000
2019,"clerical, service & sales workers",manufacturing,accounting and bookkeeping clerk,2400,2291
2019,"clerical, service & sales workers",manufacturing,stock clerk,2561,2200
2019,"clerical, service & sales workers","food, beverages & tobacco",salesperson (door-to-door),2967,1300
2019,"clerical, service & sales workers","food, beverages & tobacco",sales demonstrator,3320,2953
2019,"clerical, service & sales workers","food, beverages & tobacco",accounting and bookkeeping clerk,2217,2026
2019,"clerical, service & sales workers",paper/ rubber/ plastic product & printing,accounting and bookkeeping clerk,2430,2292
2019,"clerical, service & sales workers","petroleum, chemical & pharmaceutical products",general office clerk,2597,2465
2019,"clerical, service & sales workers","petroleum, chemical & pharmaceutical products",accounting and bookkeeping clerk,2400,2400
2019,"clerical, service & sales workers","fabricated metal products, machinery & equipment",general office clerk,1843,1800
2019,"clerical, service & sales workers","fabricated metal products, machinery & equipment",accounting and bookkeeping clerk,2171,2100
2019,"clerical, service & sales workers","fabricated metal products, machinery & equipment","receptionist, customer service and information clerk",3300,3048
2019,"clerical, service & sales workers","electronic, computer & optical products",general office clerk,2998,2929
2019,"clerical, service & sales workers","electronic, computer & optical products","receptionist, customer service and information clerk",3668,3527
2019,"clerical, service & sales workers","electronic, computer & optical products",accounting and bookkeeping clerk,2662,2662
2019,"clerical, service & sales workers",transport equipment,general office clerk,1800,1746
2019,"clerical, service & sales workers",transport equipment,production clerk,3271,3000
2019,"clerical, service & sales workers",transport equipment,accounting and bookkeeping clerk,2500,2500
2019,"clerical, service & sales workers",construction,general office clerk,1320,1316
2019,"clerical, service & sales workers",construction,accounting and bookkeeping clerk,1600,1600
2019,"clerical, service & sales workers",construction,secretary,3256,3256
2019,"clerical, service & sales workers",services,"receptionist, customer service and information clerk",2930,2563
2019,"clerical, service & sales workers",services,general office clerk,2466,2350
2019,"clerical, service & sales workers",services,shop sales assistant,2053,1430
2019,"clerical, service & sales workers",wholesale and retail trade,shop sales assistant,2070,1430
2019,"clerical, service & sales workers",wholesale and retail trade,cashier,1555,1420
2019,"clerical, service & sales workers",wholesale and retail trade,sales supervisor,2721,1839
2019,"clerical, service & sales workers",wholesale trade,shop sales assistant,2200,1600
2019,"clerical, service & sales workers",wholesale trade,"receptionist, customer service and information clerk",3242,3148
2019,"clerical, service & sales workers",wholesale trade,accounting and bookkeeping clerk,2666,2600
2019,"clerical, service & sales workers",retail trade,shop sales assistant,2030,1400
2019,"clerical, service & sales workers",retail trade,cashier,1555,1420
2019,"clerical, service & sales workers",retail trade,sales supervisor,2510,1749
2019,"clerical, service & sales workers",transportation and storage,"receptionist, customer service and information clerk",3023,2485
2019,"clerical, service & sales workers",transportation and storage,mail carrier and sorting worker,2160,1929
2019,"clerical, service & sales workers",transportation and storage,general office clerk,3170,2870
2019,"clerical, service & sales workers",land transport & supporting services,"receptionist, customer service and information clerk",3136,2438
2019,"clerical, service & sales workers",land transport & supporting services,transport clerk,3046,2355
2019,"clerical, service & sales workers",land transport & supporting services,clerical supervisor,3265,2809
2019,"clerical, service & sales workers",water transport & supporting services,accounting and bookkeeping clerk,2963,2940
2019,"clerical, service & sales workers",water transport & supporting services,transport clerk,2964,2800
2019,"clerical, service & sales workers",water transport & supporting services,"receptionist, customer service and information clerk",2935,2905
2019,"clerical, service & sales workers",air transport & supporting services,general office clerk,3459,2997
2019,"clerical, service & sales workers",air transport & supporting services,"receptionist, customer service and information clerk",2979,2277
2019,"clerical, service & sales workers",air transport & supporting services,clerical supervisor,4237,3834
2019,"clerical, service & sales workers",accommodation and food services,waiter,1750,1500
2019,"clerical, service & sales workers",accommodation and food services,cook,2200,1784
2019,"clerical, service & sales workers",accommodation and food services,captain waiter/waiter supervisor,2452,2032
2019,"clerical, service & sales workers",accommodation,"receptionist, customer service and information clerk",2229,2025
2019,"clerical, service & sales workers",accommodation,security guard,2121,1984
2019,"clerical, service & sales workers",accommodation,cook,2305,1972
2019,"clerical, service & sales workers",food & beverage services,waiter,1664,1430
2019,"clerical, service & sales workers",food & beverage services,cook,2178,1739
2019,"clerical, service & sales workers",food & beverage services,food service counter attendant,1663,1138
2019,"clerical, service & sales workers",information and communications,"receptionist, customer service and information clerk",3386,3013
2019,"clerical, service & sales workers",information and communications,general office clerk,2205,2000
2019,"clerical, service & sales workers",information and communications,clerical supervisor,3399,2822
2019,"clerical, service & sales workers","telecommunications, broadcasting & publishing","receptionist, customer service and information clerk",3388,3007
2019,"clerical, service & sales workers","telecommunications, broadcasting & publishing",general office clerk,2667,2585
2019,"clerical, service & sales workers","telecommunications, broadcasting & publishing",clerical supervisor,3732,3426
2019,"clerical, service & sales workers",it & other information services,general office clerk,2009,1641
2019,"clerical, service & sales workers",financial and insurance services,"receptionist, customer service and information clerk",3889,3649
2019,"clerical, service & sales workers",financial and insurance services,finance and insurance clerk,3691,3400
2019,"clerical, service & sales workers",financial and insurance services,bank teller,2958,2500
2019,"clerical, service & sales workers",financial services,"receptionist, customer service and information clerk",3869,3665
2019,"clerical, service & sales workers",financial services,finance and insurance clerk,3697,3409
2019,"clerical, service & sales workers",financial services,bank teller,2958,2500
2019,"clerical, service & sales workers",insurance,"receptionist, customer service and information clerk",4006,3500
2019,"clerical, service & sales workers",insurance,secretary,4626,4596
2019,"clerical, service & sales workers",insurance,general office clerk,2601,2475
2019,"clerical, service & sales workers",real estate services,general office clerk,2200,2195
2019,"clerical, service & sales workers",real estate services,cashier,1749,1214
2019,"clerical, service & sales workers",real estate services,accounting and bookkeeping clerk,2300,2300
2019,"clerical, service & sales workers",professional services,secretary,4400,4114
2019,"clerical, service & sales workers",professional services,general office clerk,2500,2400
2019,"clerical, service & sales workers",professional services,"receptionist, customer service and information clerk",2288,2247
2019,"clerical, service & sales workers","legal, accounting & management services",secretary,4371,4100
2019,"clerical, service & sales workers","legal, accounting & management services",general office clerk,2818,2685
2019,"clerical, service & sales workers","legal, accounting & management services","receptionist, customer service and information clerk",2235,2130
2019,"clerical, service & sales workers",architectural & engineering services,general office clerk,2100,1990
2019,"clerical, service & sales workers",architectural & engineering services,accounting and bookkeeping clerk,2300,2300
2019,"clerical, service & sales workers",administrative and support services,security guard,2384,1300
2019,"clerical, service & sales workers",administrative and support services,"receptionist, customer service and information clerk",2810,2529
2019,"clerical, service & sales workers",administrative and support services,general office clerk,2200,2050
2019,"clerical, service & sales workers","education, health and social services",teachers' aide,2192,1900
2019,"clerical, service & sales workers","education, health and social services",general office clerk,2261,2206
2019,"clerical, service & sales workers","education, health and social services","receptionist, customer service and information clerk",2366,2258
2019,"clerical, service & sales workers",health & social services,general office clerk,2470,2417
2019,"clerical, service & sales workers",health & social services,"receptionist, customer service and information clerk",2317,2214
2019,"clerical, service & sales workers",health & social services,healthcare assistant and other personal care worker,1774,1650
2019,"clerical, service & sales workers","arts, entertainment, recreation and other services",cashier,2844,2638
2019,"clerical, service & sales workers","arts, entertainment, recreation and other services","receptionist, customer service and information clerk",2389,2273
2019,"clerical, service & sales workers","arts, entertainment, recreation and other services",general office clerk,2200,2162
2019,"production & transport operators, cleaners & labourers",manufacturing,electrical and electronic equipment assembler,2159,1430
2019,"production & transport operators, cleaners & labourers",manufacturing,stationary plant and machine supervisor/general foreman,3570,2822
2019,"production & transport operators, cleaners & labourers",manufacturing,machine-tool setter-operator,2450,2000
2019,"production & transport operators, cleaners & labourers","food, beverages & tobacco",hand packer,1374,1211
2019,"production & transport operators, cleaners & labourers","food, beverages & tobacco","supervisor/general foreman (food processing, woodworking, garment, leather and related trades)",3332,2318
2019,"production & transport operators, cleaners & labourers","food, beverages & tobacco",stationary plant and machine supervisor/general foreman,4331,2955
2019,"production & transport operators, cleaners & labourers",paper/ rubber/ plastic product & printing,plastic products machine operator,1511,1042
2019,"production & transport operators, cleaners & labourers",paper/ rubber/ plastic product & printing,stationary plant and machine supervisor/general foreman,3457,3045
2019,"production & transport operators, cleaners & labourers",paper/ rubber/ plastic product & printing,"printing, binding and related machine operator",2102,1741
2019,"production & transport operators, cleaners & labourers","petroleum, chemical & pharmaceutical products",stationary plant and machine supervisor/general foreman,4955,3680
2019,"production & transport operators, cleaners & labourers","fabricated metal products, machinery & equipment",machine-tool setter-operator,2552,2053
2019,"production & transport operators, cleaners & labourers","fabricated metal products, machinery & equipment","supervisor/general foreman (metal, machinery and related trades)",3690,3200
2019,"production & transport operators, cleaners & labourers","fabricated metal products, machinery & equipment",lorry driver,2380,1969
2019,"production & transport operators, cleaners & labourers","electronic, computer & optical products",electrical and electronic equipment assembler,2249,1437
2019,"production & transport operators, cleaners & labourers","electronic, computer & optical products",supervisor/general foreman of assembler and quality checker,5894,4509
2019,"production & transport operators, cleaners & labourers","electronic, computer & optical products",machinery mechanic,3793,2363
2019,"production & transport operators, cleaners & labourers",transport equipment,"supervisor/general foreman (metal, machinery and related trades)",3379,2954
2019,"production & transport operators, cleaners & labourers",transport equipment,aircraft engine mechanic and repairer,2844,2369
2019,"production & transport operators, cleaners & labourers",transport equipment,lorry driver,1300,1300
2019,"production & transport operators, cleaners & labourers",construction,supervisor/general foreman (building and related trades),2893,2645
2019,"production & transport operators, cleaners & labourers",construction,lorry driver,2000,1700
2019,"production & transport operators, cleaners & labourers",construction,supervisor/general foreman (electrical and electronic trades),3398,2745
2019,"production & transport operators, cleaners & labourers",services,"cleaner in other establishments (eg shopping malls, schools, hospitals, places of worship)",1384,1250
2019,"production & transport operators, cleaners & labourers",services,bus driver,3845,2455
2019,"production & transport operators, cleaners & labourers",services,"crane, hoist and related equipment operator",3462,2550
2019,"production & transport operators, cleaners & labourers",wholesale and retail trade,godown labourer,1675,1651
2019,"production & transport operators, cleaners & labourers",wholesale and retail trade,hand packer,1513,1350
2019,"production & transport operators, cleaners & labourers",wholesale and retail trade,lorry driver,2319,2100
2019,"production & transport operators, cleaners & labourers",wholesale trade,godown labourer,2250,2016
2019,"production & transport operators, cleaners & labourers",wholesale trade,lorry driver,2322,2070
2019,"production & transport operators, cleaners & labourers",wholesale trade,hand packer,1416,1227
2019,"production & transport operators, cleaners & labourers",retail trade,godown labourer,1626,1614
2019,"production & transport operators, cleaners & labourers",retail trade,hand packer,1513,1380
2019,"production & transport operators, cleaners & labourers",retail trade,van driver,2057,1950
2019,"production & transport operators, cleaners & labourers",transportation and storage,bus driver,3870,2470
2019,"production & transport operators, cleaners & labourers",transportation and storage,"crane, hoist and related equipment operator",3460,2550
2019,"production & transport operators, cleaners & labourers",transportation and storage,trailer-truck driver (including prime mover driver),2851,1849
2019,"production & transport operators, cleaners & labourers",land transport & supporting services,bus driver,3870,2470
2019,"production & transport operators, cleaners & labourers",land transport & supporting services,motor vehicle mechanic,3260,2679
2019,"production & transport operators, cleaners & labourers",land transport & supporting services,lorry driver,2320,1650
2019,"production & transport operators, cleaners & labourers",accommodation and food services,kitchen assistant,1655,1400
2019,"production & transport operators, cleaners & labourers",accommodation and food services,food/drink stall assistant,1200,1200
2019,"production & transport operators, cleaners & labourers",accommodation and food services,"food and beverage establishment cleaner (eg restaurants, food courts, hawker centres)",1200,1200
2019,"production & transport operators, cleaners & labourers",accommodation,cleaner and helper in hotels and related establishments,1788,1599
2019,"production & transport operators, cleaners & labourers",accommodation,building maintenance worker,2133,2053
2019,"production & transport operators, cleaners & labourers",accommodation,porters and related worker,1875,1766
2019,"production & transport operators, cleaners & labourers",food & beverage services,kitchen assistant,1655,1400
2019,"production & transport operators, cleaners & labourers",food & beverage services,food/drink stall assistant,1200,1200
2019,"production & transport operators, cleaners & labourers",food & beverage services,"food and beverage establishment cleaner (eg restaurants, food courts, hawker centres)",1200,1200
2019,"production & transport operators, cleaners & labourers",financial and insurance services,chauffeur,3270,2593
2019,"production & transport operators, cleaners & labourers",real estate services,"cleaner in other establishments (eg shopping malls, schools, hospitals, places of worship)",1457,1320
2019,"production & transport operators, cleaners & labourers",real estate services,food/drink stall assistant,1552,1200
2019,"production & transport operators, cleaners & labourers",real estate services,"residential area cleaner (eg hdb estates, condominiums, private apartments, common areas within residential estates)",1300,1298
2019,"production & transport operators, cleaners & labourers",professional services,"tea server/steward (excluding bartender, barista and food/drink stall assistant)",1880,1743
2019,"production & transport operators, cleaners & labourers",professional services,van driver,2066,1600
2019,"production & transport operators, cleaners & labourers",professional services,chauffeur,3053,2255
2019,"production & transport operators, cleaners & labourers","legal, accounting & management services","tea server/steward (excluding bartender, barista and food/drink stall assistant)",1976,1750
2019,"production & transport operators, cleaners & labourers","legal, accounting & management services",chauffeur,3075,2255
2019,"production & transport operators, cleaners & labourers","legal, accounting & management services",van driver,2039,1600
2019,"production & transport operators, cleaners & labourers",administrative and support services,"cleaner in other establishments (eg shopping malls, schools, hospitals, places of worship)",1360,1200
2019,"production & transport operators, cleaners & labourers",administrative and support services,cleaning supervisor,2451,1720
2019,"production & transport operators, cleaners & labourers",administrative and support services,cleaner and helper in hotels and related establishments,1670,1400
2019,"production & transport operators, cleaners & labourers","education, health and social services","cleaner in other establishments (eg shopping malls, schools, hospitals, places of worship)",1389,1383
2019,"production & transport operators, cleaners & labourers","education, health and social services",ambulance driver,2037,1700
2019,"production & transport operators, cleaners & labourers","education, health and social services",van driver,2095,1864
2019,"production & transport operators, cleaners & labourers",health & social services,"cleaner in other establishments (eg shopping malls, schools, hospitals, places of worship)",1534,1507
2019,"production & transport operators, cleaners & labourers",health & social services,ambulance driver,2037,1700
2019,"production & transport operators, cleaners & labourers",health & social services,van driver,2095,1864
2019,"production & transport operators, cleaners & labourers","arts, entertainment, recreation and other services",hand launderer/presser (non-household),1381,1200
2019,"production & transport operators, cleaners & labourers","arts, entertainment, recreation and other services","cleaner in other establishments (eg shopping malls, schools, hospitals, places of worship)",1300,1250
2019,"production & transport operators, cleaners & labourers","arts, entertainment, recreation and other services","sports and recreational attendant (eg golf marshal, golf caddie, fun fair attendant, bowling alley attendant, swimming pool attendant)",2062,1926
